,cnt
335,8.48528137423857
7035,22.759613353482084
8051,1.7320508075688772
2133,13.114877048604
8485,1.0
12587,19.79898987322333
399,5.916079783099616
15527,3.4641016151377544
10546,16.852299546352718
749,7.745966692414834
611,12.206555615733702
14351,4.0
6194,16.24807680927192
9566,11.224972160321824
11459,20.97617696340303
8304,14.89966442575134
10911,22.22611077089287
10231,16.24807680927192
14173,23.53720459187964
9054,1.0
3087,15.033296378372908
3643,19.748417658131498
7623,3.4641016151377544
3187,24.576411454889016
5706,5.196152422706632
15819,27.09243436828813
16037,10.723805294763608
12498,15.165750888103101
16816,20.09975124224178
13082,8.48528137423857
5549,1.0
8248,21.37755832643195
5282,9.16515138991168
15808,16.46207763315433
1795,15.0996688705415
5030,12.529964086141668
13894,2.449489742783178
214,1.7320508075688772
9676,1.0
11933,14.317821063276353
11300,9.38083151964686
1562,3.4641016151377544
16503,9.797958971132712
4128,13.674794331177344
11816,25.67099530598687
3213,18.193405398660254
14504,22.44994432064365
14604,29.376861643136763
16582,18.027756377319946
3595,23.62202362203543
7780,11.575836902790225
13094,20.784609690826528
6440,12.609520212918492
2694,2.449489742783178
10598,28.460498941515414
16292,15.84297951775486
8246,9.591663046625438
16193,19.157244060668017
6880,8.246211251235321
16561,18.708286933869708
5479,2.8284271247461903
10949,19.390719429665317
14660,10.816653826391969
16526,25.25866188063018
7790,1.7320508075688772
1869,11.661903789690601
9538,17.0
15035,26.28687885618983
16311,15.748015748023622
14814,16.73320053068151
10723,11.575836902790225
0,4.0
11256,5.477225575051661
2213,2.6457513110645907
9875,12.767145334803704
10109,16.186414056238647
8559,9.797958971132712
2348,14.966629547095765
8254,11.489125293076057
16299,13.341664064126334
8170,2.0
4448,6.164414002968976
7820,15.491933384829668
12978,6.928203230275509
3015,14.212670403551895
14498,8.12403840463596
1396,7.0710678118654755
8807,14.66287829861518
9840,5.916079783099616
3570,17.832554500127006
12744,6.244997998398398
10830,16.583123951777
5910,7.211102550927978
16659,12.12435565298214
5503,4.898979485566356
14730,9.643650760992955
3608,5.291502622129181
15184,17.08800749063506
11619,24.859605789312106
7414,9.797958971132712
16104,22.516660498395403
14923,5.0990195135927845
8439,9.591663046625438
12051,24.289915602982237
2683,22.825424421026653
12531,25.514701644346147
8059,7.0710678118654755
6064,11.135528725660043
13337,15.0
8664,10.246950765959598
326,3.4641016151377544
11272,16.34013463836819
12375,21.470910553583888
4622,21.517434791350013
13033,11.661903789690601
2872,10.344080432788601
4548,10.63014581273465
15315,28.0178514522438
11644,16.852299546352718
16301,11.313708498984761
6932,13.19090595827292
4393,9.899494936611665
934,10.488088481701515
5148,16.30950643030009
